Aliens;1986;R;18.5;81.843;137;8.2
Armageddon;1998;PG-13;140;194.125;144;6.7
As Good As It Gets;1997;PG-13;50;147.54;138;8.1
Braveheart;1995;R;72;75.6;177;8.3
Chasing Amy;1997;R;0.25;12.006;105;7.9
Contact;1997;PG;90;100.853;153;8.3
Dante's Peak;1997;PG-13;104;67.155;112;6.7
Deep Impact;1998;PG-13;75;140.424;120;6.4
Executive Decision;1996;R;55;68.75;129;7.3
Forrest Gump;1994;PG-13;55;329.691;142;7.7
Ghost;1990;PG-13;22;217.631;128;7.1
Gone with the Wind;1939;G;3.9;198.571;222;8
Good Will Hunting;1997;R;10;138.339;126;8.5
Grease;1978;PG;6;181.28;110;7.3
Halloween;1978;R;0.325;47;93;7.7
Hard Rain;1998;R;70;19.819;95;5.2
I Know What You Did Last Summer;1997;R;17;72.219;100;6.5
Independence Day;1996;PG-13;75;306.124;142;6.6
Indiana Jones and the Last Crusade;1989;PG-13;39;197.171;127;7.8
Jaws;1975;PG;12;260;124;7.8
Men in Black;1997;PG-13;90;250.147;98;7.4
Multiplicity;1996;PG-13;45;20.1;117;6.8
Pulp Fiction;1994;R;8;107.93;154;8.3
Raiders of the Lost Ark;1981;PG;20;242.374;115;8.3
Saving Private ryan;1998;R;70;178.091;170;9.1
Schindler's List;1993;R;25;96.067;197;8.6
Scream;1996;R;15;103.001;111;7.7
Speed 2:Cruise Control;1997;PG-13;110;48.068;121;4.3
Terminator;1984;R;6.4;36.9;108;7.7
The American President;1995;PG-13;62;65;114;7.6
The Fifth Element;1997;PG-13;90;63.54;126;7.8
The Game;1997;R;50;48.265;128;7.6
The Man in the Iron Mask;1998;PG-13;35;56.876;132;6.5
Titanic;1997;PG-13;200;600.743;195;8.4
True Lies;1994;R;100;146.261;144;7.2
Volcano;1997;PG-13;90;47.474;102;5.8
